,id,title,release_year,country,duration,language,certification,gross,budget
2330,2331,Duma,2005,USA,100,English,PG,860002.0,12000000
2332,2333,Edmond,2005,USA,82,English,R,131617.0,10000000
2333,2334,Elektra,2005,Canada,100,English,PG-13,24407944.0,43000000
2334,2335,Elizabethtown,2005,USA,123,English,PG-13,26838389.0,57000000
2335,2336,End of the Spear,2005,USA,108,English,PG-13,11703287.0,10000000
2336,2337,Fateless,2005,Hungary,134,Hungarian,R,195888.0,2500000000
2339,2340,Fever Pitch,2005,USA,104,English,PG-13,42071069.0,30000000
2340,2341,Flightplan,2005,USA,98,English,PG-13,89706988.0,55000000
2342,2343,Four Brothers,2005,USA,109,English,R,74484168.0,45000000
2343,2344,Fun with Dick and Jane,2005,USA,90,English,PG-13,110332737.0,100000000
2344,2345,Get Rich or Die Tryin',2005,USA,117,English,R,30981850.0,40000000
2345,2346,Goal! The Dream Begins,2005,USA,118,English,PG-13,4280577.0,10000000
2346,2347,"Good Night, and Good Luck.",2005,USA,93,English,PG,31501218.0,7500000
2347,2348,Guess Who,2005,USA,105,English,PG-13,67962333.0,35000000
2348,2349,Hard Candy,2005,USA,104,English,R,1007962.0,950000
2349,2350,Harry Potter and the Goblet of Fire,2005,UK,157,English,PG-13,289994397.0,150000000
2350,2351,Harsh Times,2005,USA,116,English,R,3335839.0,2000000
2351,2352,Herbie Fully Loaded,2005,USA,101,English,G,66002004.0,50000000
2352,2353,Hide and Seek,2005,USA,101,English,R,51097664.0,30000000
2353,2354,Hitch,2005,USA,118,English,PG-13,177575142.0,70000000
2354,2355,Hoodwinked!,2005,USA,80,English,PG,51053787.0,17500000
2355,2356,Hostage,2005,USA,113,English,R,34636443.0,52000000
2356,2357,Hostel,2005,USA,93,English,R,47277326.0,4800000
2358,2359,House of Wax,2005,Australia,108,English,R,32048809.0,30000000
2359,2360,House of Wax,2005,Australia,108,English,R,32048809.0,30000000
2360,2361,Hustle & Flow,2005,USA,116,English,R,22201636.0,8000000
2362,2363,Imagine Me & You,2005,UK,90,English,R,671240.0,7900000
2363,2364,Inside Deep Throat,2005,USA,89,English,NC-17,653621.0,2000000
2365,2366,Into the Blue,2005,USA,110,English,PG-13,18472363.0,50000000
2366,2367,Jarhead,2005,Germany,125,English,R,62647540.0,70000000
2367,2368,Joyeux Noel,2005,France,116,French,PG-13,1050445.0,22000000
2368,2369,Just Like Heaven,2005,USA,95,English,PG-13,48291624.0,58000000
2369,2370,Kicking & Screaming,2005,USA,95,English,PG,52580895.0,45000000
2370,2371,King Kong,2005,New Zealand,201,English,PG-13,218051260.0,207000000
2371,2372,King Kong,2005,New Zealand,201,English,PG-13,218051260.0,207000000
2372,2373,King Kong,2005,New Zealand,201,English,PG-13,218051260.0,207000000
2373,2374,King's Ransom,2005,USA,95,English,PG-13,4006906.0,15000000
2374,2375,Kingdom of Heaven,2005,USA,194,English,R,47396698.0,130000000
2375,2376,Kiss Kiss Bang Bang,2005,USA,103,English,R,4235837.0,15000000
2376,2377,Lady Vengeance,2005,South Korea,112,Korean,R,211667.0,4200000000
2377,2378,Land of the Dead,2005,Canada,97,English,R,20433940.0,15000000
2378,2379,London,2005,UK,92,English,R,12667.0,14000
2379,2380,Lonesome Jim,2005,USA,91,English,R,154077.0,500000
2380,2381,Lord of War,2005,USA,122,English,R,24127895.0,50000000
2381,2382,Lords of Dogtown,2005,USA,107,English,PG-13,11008432.0,25000000
2383,2384,Madagascar,2005,USA,86,English,PG,193136719.0,75000000
2384,2385,Man of the House,2005,USA,100,English,PG-13,19118247.0,40000000
2385,2386,Manderlay,2005,Denmark,139,English,Not Rated,74205.0,14200000
2386,2387,March of the Penguins,2005,France,80,French,G,77413017.0,8000000
2387,2388,Match Point,2005,UK,119,English,R,23089926.0,15000000
2388,2389,Me and You and Everyone We Know,2005,USA,91,English,R,3885134.0,2000000
2389,2390,Memoirs of a Geisha,2005,USA,145,English,PG-13,57010853.0,85000000
2390,2391,Mirrormask,2005,UK,101,English,PG,864959.0,4000000
2391,2392,Miss Congeniality 2: Armed and Fabulous,2005,USA,115,English,PG-13,48472213.0,45000000
2392,2393,Monster-in-Law,2005,Germany,101,English,PG-13,82931301.0,60000000
2393,2394,Mr. & Mrs. Smith,2005,USA,126,English,PG-13,186336103.0,120000000
2394,2395,Mrs Henderson Presents,2005,UK,103,English,R,11034436.0,20000000
2395,2396,Munich,2005,France,163,English,R,47379090.0,70000000
2396,2397,Murderball,2005,USA,88,English,R,1523883.0,1750211
2397,2398,Must Love Dogs,2005,USA,98,English,PG-13,43894863.0,30000000
2400,2401,Nanny McPhee,2005,USA,97,English,PG,47124400.0,25000000
2402,2403,Nomad: The Warrior,2005,France,112,Kazakh,R,77231.0,25000000
2403,2404,North Country,2005,USA,126,English,R,18324242.0,35000000
2404,2405,Oliver Twist,2005,UK,130,English,PG-13,1987287.0,50000000
2405,2406,Pooh's Heffalump Movie,2005,USA,68,English,G,18081626.0,20000000
2406,2407,Pride & Prejudice,2005,France,135,English,PG,38372662.0,28000000
2408,2409,Red Eye,2005,USA,85,English,PG-13,57859105.0,26000000
2409,2410,Rent,2005,USA,135,English,PG-13,29077547.0,40000000
2411,2412,Robots,2005,USA,91,English,PG,128200012.0,75000000
2414,2415,Sahara,2005,UK,124,English,PG-13,68642452.0,130000000
2415,2416,Saw II,2005,USA,95,English,R,87025093.0,4000000
2416,2417,Serenity,2005,USA,119,English,PG-13,25335935.0,40000000
2418,2419,Sin City,2005,USA,147,English,R,74098862.0,40000000
2420,2421,Sky High,2005,USA,100,English,PG,63939454.0,35000000
2421,2422,Slow Burn,2005,USA,93,English,R,1181197.0,15500000
2422,2423,Son of the Mask,2005,USA,94,English,PG,17010646.0,84000000
2423,2424,Star Wars: Episode III - Revenge of the Sith,2005,USA,140,English,PG-13,380262555.0,113000000
2424,2425,Stealth,2005,USA,121,English,PG-13,31704416.0,135000000
2426,2427,Syriana,2005,USA,128,English,R,50815288.0,50000000
2427,2428,Syriana,2005,USA,128,English,R,50815288.0,50000000
2428,2429,Thank You for Smoking,2005,USA,92,English,R,24792061.0,6500000
2429,2430,The 40-Year-Old Virgin,2005,USA,133,English,R,109243478.0,26000000
2430,2431,The Adventures of Sharkboy and Lavagirl 3-D,2005,USA,93,English,PG,39177541.0,50000000
2431,2432,The Amityville Horror,2005,USA,90,English,R,64255243.0,19000000
2432,2433,The Ballad of Jack and Rose,2005,USA,112,English,R,712294.0,1500000
2434,2435,The Brothers Grimm,2005,USA,118,English,PG-13,37899638.0,88000000
2437,2438,The Cave,2005,USA,93,English,PG-13,14888028.0,30000000
2438,2439,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,USA,150,English,PG,291709845.0,180000000
2439,2440,The Chumscrubber,2005,USA,108,English,R,49526.0,6800000
2440,2441,The Constant Gardener,2005,UK,129,English,R,33565375.0,15000000
2441,2442,The Curse of the Were-Rabbit,2005,UK,85,English,G,56068547.0,30000000
2443,2444,The Descent,2005,UK,100,English,R,26005908.0,3500000
2444,2445,The Devil's Rejects,2005,USA,109,English,R,16901126.0,7000000
2445,2446,The Dukes of Hazzard,2005,USA,107,English,PG-13,80270227.0,50000000
2446,2447,The Exorcism of Emily Rose,2005,USA,122,English,PG-13,75072454.0,20000000
2447,2448,The Family Stone,2005,USA,103,English,PG-13,6061759.0,17000000
2448,2449,The Game of Their Lives,2005,USA,101,English,PG,375474.0,20000000
2449,2450,The Great Raid,2005,USA,132,Filipino,R,10166502.0,80000000
2452,2453,The Hitchhiker's Guide to the Galaxy,2005,USA,109,English,PG,51019112.0,50000000
2453,2454,The Interpreter,2005,UK,128,Aboriginal,PG-13,72515360.0,80000000
2454,2455,The Island,2005,USA,136,English,PG-13,35799026.0,126000000
2455,2456,The Island,2005,USA,136,English,PG-13,35799026.0,126000000
2456,2457,The Jacket,2005,USA,94,English,R,6301131.0,29000000
2457,2458,The Legend of Zorro,2005,USA,129,Spanish,PG,45356386.0,75000000
2458,2459,The Longest Yard,2005,USA,113,English,PG-13,158115031.0,82000000
2459,2460,The Lost City,2005,USA,144,English,R,2483955.0,9600000
2460,2461,The Man,2005,Germany,83,English,PG-13,8326035.0,33000000
2461,2462,The Matador,2005,USA,96,English,R,12570442.0,10000000
2464,2465,The New World,2005,USA,150,English,PG-13,12712093.0,30000000
2465,2466,The Pacifier,2005,Canada,95,English,PG,113006880.0,56000000
2466,2467,The Perfect Man,2005,USA,100,English,PG,16247775.0,25000000
2467,2468,The Producers,2005,USA,134,English,PG-13,19377727.0,45000000
2468,2469,The Promise,2005,China,103,Mandarin,PG-13,668171.0,60000000
2469,2470,The Proposition,2005,Australia,104,English,R,1900725.0,2000000
2470,2471,The Protector,2005,Thailand,111,Thai,R,11905519.0,200000000
2471,2472,The Puffy Chair,2005,USA,85,English,R,192467.0,15000
2472,2473,The Quiet,2005,USA,91,English,R,381186.0,900000
2475,2476,The Salon,2005,USA,90,English,PG-13,92362.0,1500000
2476,2477,The Sisterhood of the Traveling Pants,2005,USA,119,English,PG,39008741.0,25000000
2477,2478,The Skeleton Key,2005,USA,104,English,PG-13,47806295.0,43000000
2478,2479,The Squid and the Whale,2005,USA,88,English,R,7362100.0,1500000
2479,2480,The Upside of Anger,2005,USA,118,English,R,18761993.0,9000000
2480,2481,The Weather Man,2005,USA,102,English,R,12469811.0,22000000
2481,2482,The Wedding Date,2005,USA,90,English,PG-13,31585300.0,15000000
2482,2483,The Wendell Baker Story,2005,USA,99,English,PG-13,127144.0,8000000
2483,2484,The White Countess,2005,UK,135,English,PG-13,1666262.0,16000000
2484,2485,The Work and the Glory II: American Zion,2005,USA,100,English,PG-13,2024854.0,6500000
2485,2486,The World's Fastest Indian,2005,New Zealand,127,English,PG-13,5128124.0,25000000
2486,2487,Three Burials,2005,France,107,English,R,5023275.0,15000000
2487,2488,Thumbsucker,2005,USA,96,English,R,1325073.0,4000000
2488,2489,Transamerica,2005,USA,103,English,R,9013113.0,1000000
2489,2490,Transporter 2,2005,France,87,English,PG-13,43095600.0,32000000
2490,2491,Tristram Shandy: A Cock and Bull Story,2005,UK,94,English,R,1247453.0,2800000
2491,2492,Trust the Man,2005,USA,103,English,R,1530535.0,9000000
2492,2493,Tsotsi,2005,UK,94,Zulu,R,2912363.0,3000000
2493,2494,Underclassman,2005,USA,95,English,PG-13,5654777.0,25000000
2494,2495,Undiscovered,2005,Germany,97,English,PG-13,1046166.0,9000000
2495,2496,Unleashed,2005,France,103,English,R,24520892.0,45000000
2496,2497,V for Vendetta,2005,USA,132,English,R,70496802.0,54000000
2497,2498,Valiant,2005,UK,76,English,G,19447478.0,35000000
2498,2499,Wah-Wah,2005,UK,97,English,R,233103.0,7000000
2499,2500,Waiting...,2005,USA,94,English,R,16101109.0,3000000
2501,2502,Walk the Line,2005,USA,153,English,PG-13,119518352.0,28000000
2502,2503,War of the Worlds,2005,USA,116,English,PG-13,234277056.0,132000000
2504,2505,Where the Truth Lies,2005,Canada,107,English,R,871527.0,25000000
2505,2506,White Noise,2005,UK,101,English,PG-13,55865715.0,10000000
2506,2507,Winter Passing,2005,USA,98,English,R,101228.0,3500000
2507,2508,xXx: State of the Union,2005,USA,101,English,PG-13,26082914.0,87000000
2508,2509,Zathura: A Space Adventure,2005,USA,101,English,PG,28045540.0,65000000
2509,2510,10th & Wolf,2006,USA,107,English,R,53481.0,8000000
2510,2511,16 Blocks,2006,Germany,102,English,PG-13,36883539.0,52000000
2511,2512,300,2006,USA,117,English,R,210592590.0,65000000
2512,2513,A Good Year,2006,USA,117,English,PG-13,7458269.0,35000000
2513,2514,A Prairie Home Companion,2006,USA,105,English,PG-13,20338609.0,10000000
2514,2515,A Scanner Darkly,2006,USA,100,English,R,5480996.0,8700000
2516,2517,Alex Rider: Operation Stormbreaker,2006,Germany,93,English,PG,652526.0,40000000
2518,2519,All the King's Men,2006,Germany,128,English,PG-13,7221458.0,55000000
2519,2520,Alone with Her,2006,USA,78,English,Not Rated,10018.0,1000000
2520,2521,American Dreamz,2006,USA,107,English,PG-13,7156725.0,19000000
2522,2523,Apocalypto,2006,USA,139,Maya,R,50859889.0,40000000
2523,2524,Aquamarine,2006,USA,104,English,PG,18595716.0,12000000
2524,2525,Arthur and the Invisibles,2006,France,94,English,PG,15131330.0,86000000
2526,2527,Babel,2006,France,143,English,R,34300771.0,25000000
2528,2529,Barnyard,2006,Germany,90,English,PG,72601713.0,51000000
2529,2530,Basic Instinct 2,2006,UK,116,English,R,5851188.0,70000000
2530,2531,Beer League,2006,USA,86,English,R,475000.0,2800000
2531,2532,Beerfest,2006,USA,110,English,R,19179969.0,17500000
2532,2533,Bella,2006,USA,91,English,PG-13,8108247.0,3300000
2533,2534,Big Momma's House 2,2006,USA,99,English,PG-13,70163652.0,40000000
2534,2535,Black Book,2006,Netherlands,145,Dutch,R,4398392.0,21000000
2535,2536,Black Christmas,2006,USA,94,English,R,16235293.0,9000000
2536,2537,Black Snake Moan,2006,USA,116,English,R,9396487.0,15000000
2537,2538,Blood Diamond,2006,Germany,143,English,R,57366262.0,100000000
2538,2539,Bobby,2006,USA,112,English,R,11204499.0,14000000
2540,2541,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,USA,82,English,R,128505958.0,18000000
2542,2543,Cars,2006,USA,117,English,G,244052771.0,120000000
2543,2544,Casino Royale,2006,UK,144,English,PG-13,167007184.0,150000000
2544,2545,Casino Royale,2006,UK,144,English,PG-13,167007184.0,150000000
2545,2546,Catch a Fire,2006,France,98,English,PG-13,4291965.0,14000000
2547,2548,Children of Men,2006,USA,109,English,R,35286428.0,76000000
2548,2549,Clerks II,2006,USA,97,English,R,24138847.0,5000000
2549,2550,Click,2006,USA,107,English,PG-13,137340146.0,70000000
2550,2551,Come Early Morning,2006,USA,97,English,R,117560.0,6000000
2551,2552,Copying Beethoven,2006,USA,104,English,PG-13,352786.0,11000000
2552,2553,Crank,2006,USA,93,English,R,27829874.0,12000000
2554,2555,Crossover,2006,USA,95,English,PG-13,7009668.0,5600000
2555,2556,Curious George,2006,USA,78,English,G,58336565.0,50000000
2556,2557,Curse of the Golden Flower,2006,China,114,Mandarin,R,6565495.0,45000000
2557,2558,Date Movie,2006,USA,85,English,PG-13,48546578.0,20000000
2559,2560,DOA: Dead or Alive,2006,USA,87,English,PG-13,480314.0,21000000
2560,2561,Doogal,2006,USA,77,English,G,7382993.0,20000000
2561,2562,Dreamgirls,2006,USA,130,English,PG-13,103338338.0,70000000
2563,2564,Eight Below,2006,USA,120,English,PG,81593527.0,40000000
2564,2565,Employee of the Month,2006,USA,103,English,PG-13,28435406.0,12000000
2565,2566,Eragon,2006,USA,104,English,PG,75030163.0,100000000
2566,2567,Exiled,2006,Hong Kong,110,Cantonese,R,49413.0,35000000
2567,2568,Eye of the Dolphin,2006,USA,100,English,PG-13,71904.0,2500000
2568,2569,Facing the Giants,2006,USA,111,English,PG,10174663.0,100000
2569,2570,Factory Girl,2006,USA,99,English,R,1654367.0,7000000
2570,2571,Failure to Launch,2006,USA,95,English,PG-13,88658172.0,50000000
2573,2574,Fido,2006,Canada,93,English,R,298110.0,8000000
2574,2575,Final Destination 3,2006,Germany,86,English,R,54098051.0,25000000
2575,2576,Find Me Guilty,2006,Germany,125,English,R,1172769.0,13000000
2576,2577,Firewall,2006,USA,105,English,PG-13,48745150.0,50000000
2577,2578,Flags of Our Fathers,2006,USA,135,English,R,33574332.0,90000000
2578,2579,Flicka,2006,USA,95,English,PG,20998709.0,15000000
2579,2580,Flushed Away,2006,UK,85,English,PG,64459316.0,149000000
2580,2581,Flyboys,2006,UK,140,English,PG-13,13082288.0,60000000
2581,2582,For Your Consideration,2006,USA,86,English,PG-13,5542025.0,12000000
2582,2583,Friends with Money,2006,USA,88,English,R,13367101.0,6500000
2583,2584,Fur: An Imaginary Portrait of Diane Arbus,2006,USA,122,English,R,220914.0,16800000
2587,2588,Gridiron Gang,2006,USA,125,English,PG-13,38432823.0,30000000
2588,2589,Half Nelson,2006,USA,106,English,R,2694973.0,700000
2589,2590,Happily N'Ever After,2006,USA,75,English,PG,15519841.0,47000000
2590,2591,Happy Feet,2006,USA,108,English,PG,197992827.0,100000000
2592,2593,Hoot,2006,USA,91,English,PG,8080116.0,15000000
2593,2594,I Served the King of England,2006,Czech Republic,113,Czech,R,617228.0,84450000
2594,2595,I Want Someone to Eat Cheese With,2006,USA,80,English,R,194568.0,1500000
2595,2596,Ice Age: The Meltdown,2006,USA,115,English,PG,195329763.0,80000000
2597,2598,Idlewild,2006,USA,121,English,R,12549485.0,15000000
2598,2599,In Her Line of Fire,2006,Germany,88,English,R,721.0,1000000
2599,2600,Infamous,2006,USA,118,English,R,1150403.0,13000000
2600,2601,Inside Man,2006,USA,129,English,R,88504640.0,45000000
2601,2602,Ira & Abby,2006,USA,101,English,R,220234.0,3500000
2605,2606,Jindabyne,2006,Australia,118,English,R,399879.0,15000000
2606,2607,Journey from the Fall,2006,USA,135,Vietnamese,R,638951.0,1592000
2607,2608,Just My Luck,2006,USA,103,English,PG-13,17324744.0,28000000
2608,2609,Kabhi Alvida Naa Kehna,2006,India,193,Hindi,R,3275443.0,700000000
2611,2612,Lady in the Water,2006,USA,110,English,PG-13,42272747.0,70000000
2614,2615,Larry the Cable Guy: Health Inspector,2006,USA,89,English,PG-13,15655665.0,4000000
2615,2616,Last Holiday,2006,USA,112,English,PG-13,38360195.0,45000000
2617,2618,Letters from Iwo Jima,2006,USA,141,Japanese,R,13753931.0,19000000
2619,2620,Little Children,2006,USA,137,English,R,5459824.0,26000000
2620,2621,Little Miss Sunshine,2006,USA,101,English,R,59889948.0,8000000
2621,2622,Littleman,2006,USA,98,English,PG-13,58255287.0,64000000
2625,2626,Lucky Number Slevin,2006,Germany,110,English,R,22494487.0,27000000
2626,2627,Lucky Number Slevin,2006,Germany,110,English,R,22494487.0,27000000
2627,2628,Madea's Family Reunion,2006,USA,107,English,PG-13,63231524.0,6000000
2628,2629,Man of the Year,2006,USA,115,English,PG-13,37442180.0,20000000
2629,2630,Marie Antoinette,2006,USA,123,English,PG-13,15962471.0,40000000
2630,2631,Miss Potter,2006,UK,88,English,PG,2975649.0,30000000
2631,2632,Mission: Impossible III,2006,USA,124,English,PG-13,133382309.0,150000000
2632,2633,Monster House,2006,USA,91,English,PG,73661010.0,75000000
2633,2634,My Super Ex-Girlfriend,2006,USA,95,English,PG-13,22526144.0,30000000
2634,2635,Nacho Libre,2006,Germany,92,English,PG,80197993.0,32000000
2635,2636,Night at the Museum,2006,USA,108,English,PG,250863268.0,110000000
2636,2637,Notes on a Scandal,2006,UK,92,English,R,17508670.0,15000000
2637,2638,Old Joy,2006,USA,76,English,Unrated,255352.0,300000
2638,2639,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006,UK,97,English,PG-13,144431.0,1000000
2639,2640,One Night with the King,2006,USA,123,English,PG,13391174.0,20000000
2640,2641,One to Another,2006,France,95,French,Unrated,18435.0,1400000
2641,2642,Opal Dream,2006,Australia,86,English,PG,13751.0,11400000
2642,2643,Open Season,2006,USA,83,English,PG,84303558.0,85000000
2644,2645,Over the Hedge,2006,USA,83,English,PG,155019340.0,80000000
2645,2646,Pan's Labyrinth,2006,Spain,112,Spanish,R,37623143.0,13500000
2646,2647,"Paris, je t'aime",2006,France,120,French,R,4857376.0,13000000
2647,2648,Peaceful Warrior,2006,Germany,120,English,PG-13,1055654.0,10000000
2648,2649,Perfume: The Story of a Murderer,2006,Germany,147,English,R,2208939.0,50000000
2649,2650,Phat Girlz,2006,USA,99,English,PG-13,7059537.0,3000000
2650,2651,Pirates of the Caribbean: Dead Man's Chest,2006,USA,151,English,PG-13,423032628.0,225000000
2651,2652,Poseidon,2006,USA,98,English,PG-13,60655503.0,160000000
2652,2653,Poultrygeist: Night of the Chicken Dead,2006,USA,103,English,Unrated,23000.0,500000
2653,2654,Pulse,2006,USA,90,English,PG-13,20259297.0,20000000
2654,2655,Quincea̱era,2006,USA,90,Spanish,R,1689999.0,400000
2656,2657,Renaissance,2006,France,105,English,R,63260.0,14000000
2657,2658,Rescue Dawn,2006,USA,120,English,PG-13,5484375.0,10000000
2658,2659,Rocky Balboa,2006,USA,139,English,PG,70269171.0,24000000
2659,2660,Running Scared,2006,Germany,122,English,R,6855137.0,17000000
2660,2661,Running with Scissors,2006,USA,122,English,R,6754898.0,12000000
2661,2662,Saw III,2006,USA,121,English,R,80150343.0,10000000
2662,2663,Scary Movie 4,2006,USA,89,English,PG-13,90703745.0,45000000
2663,2664,School for Scoundrels,2006,USA,108,English,PG-13,17803796.0,20000000
2664,2665,Scoop,2006,UK,96,English,PG-13,10515579.0,4000000
2666,2667,Severance,2006,UK,90,English,R,136432.0,5000000
2667,2668,She's the Man,2006,USA,105,English,PG-13,33687630.0,20000000
2668,2669,Sherrybaby,2006,USA,96,English,R,198407.0,2000000
2669,2670,Shortbus,2006,USA,101,English,Unrated,1984378.0,2000000
2670,2671,Silent Hill,2006,Canada,132,English,R,46982632.0,50000000
2671,2672,Slither,2006,Canada,95,English,R,7774730.0,15500000
2672,2673,Smokin' Aces,2006,UK,109,English,R,35635046.0,17000000
2673,2674,Snakes on a Plane,2006,Germany,105,English,R,34014398.0,33000000
2674,2675,Snakes on a Plane,2006,Germany,105,English,R,34014398.0,33000000
2675,2676,Southland Tales,2006,France,160,English,R,273420.0,17000000
2676,2677,Special,2006,USA,81,English,R,6387.0,1000000
2677,2678,Stay Alive,2006,USA,75,English,PG-13,23078294.0,9000000
2678,2679,Step Up,2006,USA,104,English,PG-13,65269010.0,12000000
2680,2681,Stranger Than Fiction,2006,USA,113,English,PG-13,40137776.0,38000000
2681,2682,Superman Returns,2006,USA,169,English,PG-13,200069408.0,209000000
2682,2683,Take the Lead,2006,USA,118,English,PG-13,34703228.0,30000000
2683,2684,Talladega Nights: The Ballad of Ricky Bobby,2006,USA,122,English,PG-13,148213377.0,73000000
2684,2685,The Ant Bully,2006,USA,88,English,PG,28133159.0,50000000
2685,2686,The Astronaut Farmer,2006,USA,104,English,PG,10996440.0,13000000
2686,2687,The Benchwarmers,2006,USA,75,English,PG-13,57651794.0,33000000
2687,2688,The Black Dahlia,2006,Germany,121,English,R,22518325.0,50000000
2688,2689,The Break-Up,2006,USA,106,English,PG-13,118683135.0,52000000
2689,2690,The Bubble,2006,Israel,90,Hebrew,Unrated,155972.0,1500000
2690,2691,The Covenant,2006,USA,97,English,PG-13,23292105.0,20000000
2691,2692,The Da Vinci Code,2006,USA,174,English,PG-13,217536138.0,125000000
2693,2694,The Departed,2006,USA,151,English,R,132373442.0,90000000
2694,2695,The Devil Wears Prada,2006,USA,109,English,PG-13,124732962.0,35000000
2695,2696,The Fast and the Furious: Tokyo Drift,2006,USA,104,English,PG-13,62494975.0,85000000
2696,2697,The Fountain,2006,USA,96,English,PG-13,10139254.0,35000000
2697,2698,The Good German,2006,USA,105,English,R,1304837.0,32000000
2698,2699,The Grudge 2,2006,USA,137,English,PG-13,39143839.0,20000000
2699,2700,The Hills Have Eyes,2006,USA,108,English,R,41777564.0,15000000
2700,2701,The History Boys,2006,UK,109,English,R,2706659.0,2000000
2701,2702,The Hoax,2006,USA,116,English,R,7156933.0,25000000
2702,2703,The Holiday,2006,USA,138,English,PG-13,63224849.0,85000000
2703,2704,The Host,2006,South Korea,110,Korean,R,2201412.0,12215500000
2704,2705,The Illusionist,2006,USA,110,English,PG-13,39825798.0,16000000
2705,2706,The Illusionist,2006,USA,110,English,PG-13,39825798.0,16000000
2706,2707,The Lake House,2006,USA,99,English,PG,52320979.0,40000000
2707,2708,The Last King of Scotland,2006,UK,121,English,R,17605861.0,6000000
2708,2709,The Lives of Others,2006,Germany,137,German,R,11284657.0,2000000
2710,2711,The Marine,2006,USA,92,English,PG-13,18843314.0,20000000
2713,2714,The Nativity Story,2006,USA,101,English,PG,37617947.0,30000000
2714,2715,The Night Listener,2006,USA,81,English,R,7825820.0,4000000
2716,2717,The Painted Veil,2006,China,125,Mandarin,PG-13,8047690.0,19400000
2718,2719,The Pink Panther,2006,USA,93,English,PG,82226474.0,65000000
2719,2720,The Prestige,2006,USA,130,English,PG-13,53082743.0,40000000
2720,2721,The Pursuit of Happyness,2006,USA,117,English,PG-13,162586036.0,55000000
2721,2722,The Queen,2006,UK,94,English,PG-13,56437947.0,9800000
2722,2723,The Sentinel,2006,USA,107,English,PG-13,36279230.0,60000000
2723,2724,The Shaggy Dog,2006,USA,98,English,PG,61112916.0,50000000
2724,2725,The Texas Chainsaw Massacre: The Beginning,2006,USA,83,English,R,39511038.0,16000000
2726,2727,The Trials of Darryl Hunt,2006,USA,106,English,PG-13,1111.0,200000
2729,2730,This Is England,2006,UK,101,English,Unrated,327919.0,1500000
2730,2731,Thr3e,2006,Poland,101,English,PG-13,978908.0,2400000
2731,2732,Ultraviolet,2006,USA,94,English,PG-13,18500966.0,30000000
2732,2733,Unaccompanied Minors,2006,USA,90,English,PG,16647384.0,26000000
2733,2734,Underworld: Evolution,2006,USA,102,English,R,62318875.0,50000000
2734,2735,United 93,2006,USA,111,English,R,31471430.0,15000000
2738,2739,We Are Marshall,2006,USA,131,English,PG,43532294.0,65000000
2739,2740,When a Stranger Calls,2006,USA,87,English,PG-13,47860214.0,15000000
2740,2741,Who Killed the Electric Car?,2006,USA,92,English,PG,1677838.0,1000000
2742,2743,World Trade Center,2006,USA,129,English,PG-13,70236496.0,63000000
2743,2744,Wristcutters: A Love Story,2006,USA,88,English,R,104077.0,1000000
2744,2745,X-Men: The Last Stand,2006,Canada,104,English,PG-13,234360014.0,210000000
2745,2746,"You, Me and Dupree",2006,USA,110,English,PG-13,75604320.0,54000000
2746,2747,Zoom,2006,USA,83,English,PG,11631245.0,35000000
2748,2749,1408,2007,USA,114,English,PG-13,71975611.0,25000000
2749,2750,28 Weeks Later,2007,UK,100,English,R,28637507.0,15000000
2750,2751,3:10 to Yuma,2007,USA,122,English,R,53574088.0,55000000
2751,2752,30 Days of Night,2007,USA,113,English,R,39568996.0,32000000
2752,2753,"4 Months, 3 Weeks and 2 Days",2007,Romania,113,Romanian,Not Rated,1185783.0,590000
2753,2754,88 Minutes,2007,USA,108,English,R,16930884.0,30000000
2756,2757,A Mighty Heart,2007,USA,108,English,R,9172810.0,16000000
2757,2758,Across the Universe,2007,USA,133,English,PG-13,24343673.0,45000000
2758,2759,Across the Universe,2007,USA,133,English,PG-13,24343673.0,45000000
2759,2760,Aliens vs. Predator: Requiem,2007,USA,102,English,R,41797066.0,40000000
2761,2762,Alvin and the Chipmunks,2007,USA,92,English,PG,217326336.0,60000000
2762,2763,American Gangster,2007,USA,176,English,R,130127620.0,100000000
2764,2765,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,USA,86,English,R,5518918.0,750000
2766,2767,Arnolds Park,2007,USA,103,English,PG-13,23616.0,600000
2767,2768,Atonement,2007,UK,123,English,R,50921738.0,30000000
2768,2769,August Rush,2007,USA,114,English,PG,31655091.0,30000000
2769,2770,Awake,2007,USA,84,English,R,14373825.0,8600000
2771,2772,Becoming Jane,2007,UK,120,English,PG,18663911.0,16500000
2772,2773,Bee Movie,2007,USA,91,English,PG,126597121.0,150000000
2773,2774,Beowulf,2007,USA,115,English,PG-13,82161969.0,150000000
2774,2775,Blades of Glory,2007,USA,93,English,PG-13,118153533.0,61000000
2775,2776,Blonde Ambition,2007,USA,93,English,PG-13,5561.0,10000000
2778,2779,Bridge to Terabithia,2007,USA,96,English,PG,82234139.0,17000000
2779,2780,Brooklyn Rules,2007,USA,99,English,R,398420.0,8000000
2780,2781,Caramel,2007,France,95,Arabic,PG,1060591.0,1300000
2782,2783,Charlie Bartlett,2007,USA,97,English,R,3950294.0,12000000
